,startTime,endTime,control,transitionType,targetLocX,targetLocY,targetLocZ,targetRotX,targetRotY,targetRotZ,targetDimX,targetDimY,targetDimZ,targetType,uid,sid,cid,interfaceID,numClicks,draggingDuration,resetIKNum,topViewDuration,sideViewDuration,frontViewDuration,numViewSwitches,taskID,cycleLength,eeLocX,eeLocY,eeLocZ,eeRotX,eeRotY,eeRotZ
11,1604086204.058,1604086219.809,targetdrag,click,4.879292745590417,2.183939597731415,0.6762151520263382,90,0,0,0.14291614462505267,0.14291614462505267,1.0,cylinder,1ld3U2ihvNhPXkO5RqFvTBVaxfC3,-MKuzBNcygJBayATL4TQ,-MKuzFPPIejj-jCdPhmK,targetdrag-click,8,-1.0,3,15.751,0.0,0.0,1,1,15.750999927520752,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
12,1604086223.644,1604086235.712,targetdrag,click,2.903476969883183,1.376335797530369,-2.485497477434887,0,0,90,0.15257000600203982,2.1799068949091285,0.30085746441684386,box,1ld3U2ihvNhPXkO5RqFvTBVaxfC3,-MKuzBNcygJBayATL4TQ,-MKuzKBRaMV1r3P_vktn,targetdrag-click,4,-1.0,0,8.412,3.656,0.0,2,2,12.067999839782715,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
13,1604086239.819,1604086261.043,targetdrag,click,3.2845127180897205,2.423633652555006,1.9749924598465531,0,90,90,0.15257000600203982,2.1799068949091285,0.30085746441684386,box,1ld3U2ihvNhPXkO5RqFvTBVaxfC3,-MKuzBNcygJBayATL4TQ,-MKuzO8AamGgPLVdoZ8e,targetdrag-click,6,-1.0,0,11.312,3.045,6.867,3,3,21.223999977111816,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
14,1604086265.105,1604086361.326,targetdrag,click,3.810235186838617,1.354177046620641,-0.2969655940649911,0,45,90,0.15257000600203982,2.1799068949091285,0.30085746441684386,box,1ld3U2ihvNhPXkO5RqFvTBVaxfC3,-MKuzBNcygJBayATL4TQ,-MKuzUJGSTX7XvHWFcHX,targetdrag-click,34,-1.0,2,25.129,26.598,44.494,10,4,96.22099995613098,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
15,1604086495.83,1604086511.74,arrow,press/release,6.445728036708557,1.6566634519487304,-0.6142007583430558,90,0,0,0.14491592427695044,0.14491592427695044,1.0,cylinder,1pGP3Ti9OSSQ7ZzKEc5GcuHgyYg1,-MKv-LDoU_ZWfSQCXFQ8,-MKv-MdL8odSJgBmRuKf,arrow-press/release,8,8.906,0,11.612,4.298,0.0,2,0,15.910000085830688,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
16,1604086516.872,1604086522.725,arrow,press/release,5.399305912283723,2.922085937052623,-0.8836970510588817,90,0,0,0.14491592427695044,0.14491592427695044,1.0,cylinder,1pGP3Ti9OSSQ7ZzKEc5GcuHgyYg1,-MKv-LDoU_ZWfSQCXFQ8,-MKv-Rm7-jqlWLonDlem,arrow-press/release,2,2.35,0,3.212,2.641,0.0,2,1,5.852999925613403,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
17,1604086526.905,1604086561.703,arrow,press/release,1.765179810478862,2.0716672133571294,-2.2191578021142466,0,0,90,0.1588137196409276,1.9062388868869542,0.35251417726754747,box,1pGP3Ti9OSSQ7ZzKEc5GcuHgyYg1,-MKv-LDoU_ZWfSQCXFQ8,-MKv-UDtpmKjcRHj5Lk3,arrow-press/release,14,13.652,0,15.568,11.383,7.847,4,2,34.79800009727478,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
18,1604086566.236,1604086730.042,arrow,press/release,2.3137965006679506,2.107932550838006,-2.573288251231906,0,90,90,0.1588137196409276,1.9062388868869542,0.35251417726754747,box,1pGP3Ti9OSSQ7ZzKEc5GcuHgyYg1,-MKv-LDoU_ZWfSQCXFQ8,-MKv-cpRRg6Pd_Q_sLU4,arrow-press/release,38,66.107,0,37.976,41.898,83.932,10,3,163.80599999427795,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
19,1604086738.719,1604086856.063,arrow,press/release,2.9518277131533344,2.206628530726185,0.005970921267048013,0,45,90,0.1588137196409276,1.9062388868869542,0.35251417726754747,box,1pGP3Ti9OSSQ7ZzKEc5GcuHgyYg1,-MKv-LDoU_ZWfSQCXFQ8,-MKv0HwUKLtOSj5AD-8h,arrow-press/release,32,66.381,0,37.018,39.724,40.602,9,4,117.3439998626709,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
20,1604086555.221,1604086561.389,drag,press/release,6.08708160598822,3.092873423515312,-0.8596403224692266,90,0,0,0.14160479638569867,0.14160479638569867,1.0,cylinder,1vR0JXgfnMfTo5bUAJErPXBdog93,-MKv-ZDRGtenv4GpFfVH,-MKv-a8KXkz-lllzf1sU,drag-press/release,2,3.9,0,6.168,0.0,0.0,1,0,6.167999982833862,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
21,1604086566.117,1604086590.655,drag,press/release,4.775727256627734,2.375532741608348,-1.4115855189270927,90,0,0,0.14160479638569867,0.14160479638569867,1.0,cylinder,1vR0JXgfnMfTo5bUAJErPXBdog93,-MKv-ZDRGtenv4GpFfVH,-MKv-cn_zw9nzVBFdm_Q,drag-press/release,6,18.644,0,14.905,9.633,0.0,3,1,24.537999868392944,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
22,1604086595.448,1604086615.423,drag,press/release,3.145557555205779,1.110575553526953,-3.4300629525447306,0,0,90,0.14552094172146282,2.061004171882237,0.38522727247016103,box,1vR0JXgfnMfTo5bUAJErPXBdog93,-MKv-ZDRGtenv4GpFfVH,-MKv-jxswFPFwS3McMUI,drag-press/release,4,14.757,0,6.427,0.0,13.548,3,2,19.975000143051147,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
23,1604086620.464,1604087038.437,drag,press/release,3.2964083436193596,2.198306833174892,1.7157958577415187,0,90,90,0.14552094172146282,2.061004171882237,0.38522727247016103,box,1vR0JXgfnMfTo5bUAJErPXBdog93,-MKv-ZDRGtenv4GpFfVH,-MKv-q3krsjCsIrESxFU,drag-press/release,80,242.282,2,176.428,95.67,145.875,22,3,417.97300004959106,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
24,1604087044.348,1604087072.881,drag,press/release,2.1831907013524057,1.6552509585826605,-1.1421883778754283,0,45,90,0.14552094172146282,2.061004171882237,0.38522727247016103,box,1vR0JXgfnMfTo5bUAJErPXBdog93,-MKv-ZDRGtenv4GpFfVH,-MKv1SYwoEh6Uid9NHtf,drag-press/release,14,21.864,0,6.202,16.516,5.815,3,4,28.532999992370605,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
25,1604085863.803,1604085873.326,drag,press/release,6.026489013444952,2.714181313788307,-0.5243858458941117,90,0,0,0.12333117742893641,0.12333117742893641,1.0,cylinder,2B7umwtHMkZwc0MEKrqWvXO7eIs2,-MKuxvluvsUpzYopPz9t,-MKuxxKv_CsovSiAa0j8,drag-press/release,6,6.053,0,9.523,0.0,0.0,1,0,9.523000001907349,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
26,1604085878.635,1604085891.497,drag,press/release,4.954948204403816,3.2486729189147265,-1.8193597346090564,90,0,0,0.12333117742893641,0.12333117742893641,1.0,cylinder,2B7umwtHMkZwc0MEKrqWvXO7eIs2,-MKuxvluvsUpzYopPz9t,-MKuy-xfn-8v3R68j7ds,drag-press/release,8,6.446,0,9.749,0.0,3.113,2,1,12.861999988555908,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
27,1604085897.23,1604085943.256,drag,press/release,2.022768410229431,2.9802393337144624,1.932007224982332,0,0,90,0.11704708573448863,2.0241289942043172,0.30422968638899267,box,2B7umwtHMkZwc0MEKrqWvXO7eIs2,-MKuxvluvsUpzYopPz9t,-MKuy4VDxwqraP26JT55,drag-press/release,26,22.784,0,22.731,15.454,7.841,4,2,46.026000022888184,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
28,1604085950.167,1604085983.637,drag,press/release,3.1857496720314313,2.81634891278317,-3.9619694999723327,0,90,90,0.11704708573448863,2.0241289942043172,0.30422968638899267,box,2B7umwtHMkZwc0MEKrqWvXO7eIs2,-MKuxvluvsUpzYopPz9t,-MKuyHQM4ADAJaKieYN_,drag-press/release,16,15.984,0,15.231,11.576,6.663,4,3,33.47000002861023,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
29,1604085990.556,1604086051.662,drag,press/release,2.021456937647924,1.941986914445725,-1.2484612037730676,0,45,90,0.11704708573448863,2.0241289942043172,0.30422968638899267,box,2B7umwtHMkZwc0MEKrqWvXO7eIs2,-MKuxvluvsUpzYopPz9t,-MKuyRHRWb47wyFkVTOl,drag-press/release,38,27.667,0,16.906,16.305,27.895,5,4,61.10599994659424,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
30,1604115714.703,1604115724.009,panel,press/release,6.137030888127228,2.630318427136436,-0.5899783951675817,90,0,0,0.14427318394533428,0.14427318394533428,1.0,cylinder,2BD2dj1LR4RyLPoaeS2o72DBiaB3,-MKwjlPPl-0X_r4xC0D9,-MKwjp9LA_E8cnzLAlvg,panel-press/release,20,4.089,0,9.306,0.0,0.0,1,0,9.305999994277954,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
31,1604115925.291,1604115951.671,panel,press/release,6.423477339800281,3.490623158581826,-0.8445876591025612,90,0,0,0.1363108832623113,0.1363108832623113,1.0,cylinder,2BD2dj1LR4RyLPoaeS2o72DBiaB3,-MKwkb97LmpGdr6lBz9f,-MKwkcZfTuja3YTDHLaH,panel-press/release,52,10.191,0,22.979,3.401,0.0,2,1,26.380000114440918,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
32,1604115957.309,1604115998.89,panel,press/release,1.7559128310905245,1.0094659337345195,-3.5154413738845958,0,0,90,0.196358982330496,2.2854459912609046,0.31092300536244316,box,2BD2dj1LR4RyLPoaeS2o72DBiaB3,-MKwkb97LmpGdr6lBz9f,-MKwkkNxlxYV7Gs0ZkZK,panel-press/release,38,13.093,0,3.599,35.685,2.297,4,2,41.581000089645386,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
33,1604116003.931,1604116102.297,panel,press/release,3.519631586131275,1.6045023457258427,-2.343780432030418,0,90,90,0.196358982330496,2.2854459912609046,0.31092300536244316,box,2BD2dj1LR4RyLPoaeS2o72DBiaB3,-MKwkb97LmpGdr6lBz9f,-MKwkvlQr9AuxupBBTcF,panel-press/release,108,23.458,0,52.057,16.816,29.493,7,3,98.3659999370575,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
34,1604116107.193,1604116157.7,panel,press/release,2.579500021322187,2.675122464938638,-3.8303459115025165,0,45,90,0.196358982330496,2.2854459912609046,0.31092300536244316,box,2BD2dj1LR4RyLPoaeS2o72DBiaB3,-MKwkb97LmpGdr6lBz9f,-MKwlJyu6Fmj02uNogYV,panel-press/release,42,16.776,0,21.049,20.225,9.233,5,4,50.50699996948242,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
35,1604168280.927,1604168285.034,drag,press/release,6.31112855152459,1.9193852927856163,-0.7462238569160599,90,0,0,0.14295340180502314,0.14295340180502314,1.0,cylinder,3MAK1Ut2JhP2OrUpW8lYZDi3WAT2,-MKzsJy7sh-6TRro8AiE,-MKzsLhUjykjx2XbqMgs,drag-press/release,4,2.487,0,4.107,0.0,0.0,1,0,4.10699987411499,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
36,1604168288.932,1604168292.318,drag,press/release,5.338777094256539,1.8938269861433628,-0.923477266774468,90,0,0,0.14295340180502314,0.14295340180502314,1.0,cylinder,3MAK1Ut2JhP2OrUpW8lYZDi3WAT2,-MKzsJy7sh-6TRro8AiE,-MKzsNeZa9Xktjbk5A-U,drag-press/release,2,2.052,0,3.386,0.0,0.0,1,1,3.386000156402588,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
37,1604168296.337,1604168403.712,drag,press/release,3.6281416158799975,1.092790775270299,-3.219354903495975,0,0,90,0.19478545506336076,2.234085414427179,0.3415058075103403,box,3MAK1Ut2JhP2OrUpW8lYZDi3WAT2,-MKzsJy7sh-6TRro8AiE,-MKzsPTGRXLFCKJzCOxP,drag-press/release,86,74.569,0,26.149,53.019,28.207,7,2,107.375,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
38,1604168408.034,1604168463.939,drag,press/release,3.047162932021174,2.345840464357098,-0.9262151753345451,0,90,90,0.19478545506336076,2.234085414427179,0.3415058075103403,box,3MAK1Ut2JhP2OrUpW8lYZDi3WAT2,-MKzsJy7sh-6TRro8AiE,-MKzspjXDPRqIxru3ivA,drag-press/release,38,37.298,0,10.244,25.631,20.03,5,3,55.90499997138977,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
39,1604168468.112,1604168526.046,drag,press/release,2.2001991781921038,1.081026927431926,1.605658760740111,0,45,90,0.19478545506336076,2.234085414427179,0.3415058075103403,box,3MAK1Ut2JhP2OrUpW8lYZDi3WAT2,-MKzsJy7sh-6TRro8AiE,-MKzt3PFLJd6S5F0VNCj,drag-press/release,32,40.266,0,23.964,8.964,25.006,6,4,57.93400001525879,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
40,1604109021.726,1604109025.594,target,click,6.337675165609201,2.456876591698836,-0.5620928875467969,90,0,0,0.1357547876295859,0.1357547876295859,1.0,cylinder,4GKWUieTnbVqQlpgNtIHWNN2vym1,-MKwLFpvVNb0HKW_GwAB,-MKwLI7UQ090SZEvk_V5,target-click,1,-1.0,0,3.868,0.0,0.0,1,0,3.868000030517578,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
41,1604109030.106,1604109037.087,target,click,4.249560480698717,3.4099004972468707,-0.8226855833078923,90,0,0,0.1357547876295859,0.1357547876295859,1.0,cylinder,4GKWUieTnbVqQlpgNtIHWNN2vym1,-MKwLFpvVNb0HKW_GwAB,-MKwLKAQSPcoiVNPhGn7,target-click,2,-1.0,0,5.435,0.0,1.546,2,1,6.980999946594238,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
42,1604109041.451,1604109047.8,target,click,3.974027225733451,1.7695079768226711,-2.620632423240082,0,0,90,0.1510196196093763,2.1972706906145354,0.3991052954509674,box,4GKWUieTnbVqQlpgNtIHWNN2vym1,-MKwLFpvVNb0HKW_GwAB,-MKwLMwfidZGNBKMvViw,target-click,2,-1.0,0,2.733,1.995,1.621,3,2,6.348999977111816,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
43,1604109052.188,1604109078.462,target,click,3.7968909131806563,1.9275123275658244,1.9547267667771857,0,90,90,0.1510196196093763,2.1972706906145354,0.3991052954509674,box,4GKWUieTnbVqQlpgNtIHWNN2vym1,-MKwLFpvVNb0HKW_GwAB,-MKwLPZRICe1BL1cGTS-,target-click,6,-1.0,0,9.182,9.808,7.284,7,3,26.2739999294281,5.511428117752075,2.489123249053955,-4.494971823692322,0,0,0
