,startTime,endTime,control,transitionType,targetLocX,targetLocY,targetLocZ,targetRotX,targetRotY,targetRotZ,targetDimX,targetDimY,targetDimZ,targetType,uid,sid,cid,interfaceID,numClicks,draggingDuration,resetIKNum,topViewDuration,sideViewDuration,frontViewDuration,numViewSwitches,cycleLength
13,1604095466.843,1604095592.037,panel,press/release,3.4972545304000104,2.80126632879195,-3.651045077135488,0,90,90,0.09795375160239116,1.9244732445395523,0.34085310777264816,box,FeOvmRjARdMSF8U7FixL6lqUGWn1,-MKvWugYuXNFewdBPXjf,-MKvX_pQiGvL2o3_LEyg,panel-press/release,168,1604095200.975,0,92.095,-37.445,70.544,9,125.19400000572205
14,1604095597.205,1604095690.489,panel,press/release,2.45554442902838,2.4295028469829605,-2.710410547349584,0,45,90,0.09795375160239116,1.9244732445395523,0.34085310777264816,box,FeOvmRjARdMSF8U7FixL6lqUGWn1,-MKvWugYuXNFewdBPXjf,-MKvY4eKYrrQBCo5ga0n,panel-press/release,102,-116.114,0,63.005,-13.074,43.353,7,93.28400015830994
15,1604086112.116,1604086154.742,target,click,3.730690376723129,1.8901265911942948,1.027402029112051,0,45,90,0.09943323420697957,2.101824069522145,0.30472000306795655,box,5qEDQu6O6AUl0khcEu0Km3FHC6H2,-MKuyanOJLE2Iq8E9FKd,-MKuytxoxWEW5eFGPMv8,target-click,18,-1.0,0,46.097,-6.618,3.147,9,42.62600016593933
16,1604086080.345,1604086090.375,target,click,1.9307748510858445,2.7137677626065217,0.8463970838037227,0,0,90,0.09943323420697957,2.101824069522145,0.30472000306795655,box,5qEDQu6O6AUl0khcEu0Km3FHC6H2,-MKuyanOJLE2Iq8E9FKd,-MKuymCOTvI3wJjY2wm_,target-click,2,-1.0,0,10.029,-8.831,8.832,2,10.02999997138977
17,1604086073.862,1604086076.108,target,click,4.822128578791079,2.6804777836460536,-1.4554837530033746,90,0,0,0.14735687675314993,0.14735687675314993,1.0,cylinder,5qEDQu6O6AUl0khcEu0Km3FHC6H2,-MKuyanOJLE2Iq8E9FKd,-MKuykc5rXKSw5z69TxD,target-click,1,-1.0,0,0.932,1.314,0.0,2,2.246000051498413
18,1604086095.628,1604086106.969,target,click,3.7877881390054227,1.793475940362018,-3.016518598354712,0,90,90,0.09943323420697957,2.101824069522145,0.30472000306795655,box,5qEDQu6O6AUl0khcEu0Km3FHC6H2,-MKuyanOJLE2Iq8E9FKd,-MKuypwBbUUgVeiho2tK,target-click,5,-1.0,0,-5.716,13.374,3.683,4,11.341000080108643
19,1604086057.718,1604086068.135,target,click,6.480844795865439,3.1648694969233917,-0.7111721223244938,90,0,0,0.14735687675314993,0.14735687675314993,1.0,cylinder,5qEDQu6O6AUl0khcEu0Km3FHC6H2,-MKuyanOJLE2Iq8E9FKd,-MKuygfqlUjEHlbSuCtA,target-click,3,-1.0,0,10.416,0.001,0.0,2,10.41700005531311
20,1604015221.144,1604015223.281,target,click,6.312488175680183,2.018428535323923,-0.6079003761073805,90,0,0,0.12709172724378154,0.12709172724378154,1.0,cylinder,uneBgpxMO5SOMtkbAvLb9JyoZof1,-MKqkRQ1e3BdbuyKuRoT,-MKqkTaNNTAHXnjXF4_Q,target-click,2,-1.0,0,2.137,0.0,0.0,1,2.1369998455047607
21,1604015237.859,1604015244.603,target,click,2.5511390631049666,1.4527017619291036,1.612017206295735,0,0,90,0.12491206656750345,2.0692507091332635,0.3616276666303432,box,uneBgpxMO5SOMtkbAvLb9JyoZof1,-MKqkRQ1e3BdbuyKuRoT,-MKqkXfYeHYuLs0eWFk_,target-click,2,-1.0,0,11.815,-5.071,0.0,2,6.74399995803833
22,1604015228.049,1604015229.58,target,click,5.320982727742927,2.618272872310075,0.4868680115841322,90,0,0,0.12709172724378154,0.12709172724378154,1.0,cylinder,uneBgpxMO5SOMtkbAvLb9JyoZof1,-MKqkRQ1e3BdbuyKuRoT,-MKqkVHG6UKflM0neKTv,target-click,1,-1.0,0,1.531,0.0,0.0,1,1.5309998989105225
